Timestamp,Are you left-handed?,Do you tend to ask questions a lot during exams?,Email Address
,,,
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
11/6/2024 16:07:47,Yes,No,netid@uci.edu
